"subj" "activity" "feature" "value"
28 "WALKING" "tBodyAccJerk-mean-X" 0.0931
29 "WALKING" "tBodyAccJerk-mean-X" 0.0854
30 "WALKING" "tBodyAccJerk-mean-X" 0.0689
1 "WALKING_DOWNSTAIRS" "tBodyAccJerk-mean-X" 0.0542
2 "WALKING_DOWNSTAIRS" "tBodyAccJerk-mean-X" 0.11
3 "WALKING_DOWNSTAIRS" "tBodyAccJerk-mean-X" 0.0726
4 "WALKING_DOWNSTAIRS" "tBodyAccJerk-mean-X" 0.0972
5 "WALKING_DOWNSTAIRS" "tBodyAccJerk-mean-X" 0.1097
6 "WALKING_DOWNSTAIRS" "tBodyAccJerk-mean-X" 0.1037
7 "WALKING_DOWNSTAIRS" "tBodyAccJerk-mean-X" 0.0969
8 "WALKING_DOWNSTAIRS" "tBodyAccJerk-mean-X" 0.1189
9 "WALKING_DOWNSTAIRS" "tBodyAccJerk-mean-X" 0.1302
10 "WALKING_DOWNSTAIRS" "tBodyAccJerk-mean-X" 0.101
11 "WALKING_DOWNSTAIRS" "tBodyAccJerk-mean-X" 0.0897
12 "WALKING_DOWNSTAIRS" "tBodyAccJerk-mean-X" 0.0622
13 "WALKING_DOWNSTAIRS" "tBodyAccJerk-mean-X" 0.1017
14 "WALKING_DOWNSTAIRS" "tBodyAccJerk-mean-X" 0.0429
15 "WALKING_DOWNSTAIRS" "tBodyAccJerk-mean-X" 0.0711
16 "WALKING_DOWNSTAIRS" "tBodyAccJerk-mean-X" 0.0908
17 "WALKING_DOWNSTAIRS" "tBodyAccJerk-mean-X" 0.1183
18 "WALKING_DOWNSTAIRS" "tBodyAccJerk-mean-X" 0.0809
19 "WALKING_DOWNSTAIRS" "tBodyAccJerk-mean-X" 0.0731
20 "WALKING_DOWNSTAIRS" "tBodyAccJerk-mean-X" 0.0695
21 "WALKING_DOWNSTAIRS" "tBodyAccJerk-mean-X" 0.0901
22 "WALKING_DOWNSTAIRS" "tBodyAccJerk-mean-X" 0.1016
23 "WALKING_DOWNSTAIRS" "tBodyAccJerk-mean-X" 0.0578
24 "WALKING_DOWNSTAIRS" "tBodyAccJerk-mean-X" 0.0803
25 "WALKING_DOWNSTAIRS" "tBodyAccJerk-mean-X" 0.1107
26 "WALKING_DOWNSTAIRS" "tBodyAccJerk-mean-X" 0.1115
27 "WALKING_DOWNSTAIRS" "tBodyAccJerk-mean-X" 0.0936
28 "WALKING_DOWNSTAIRS" "tBodyAccJerk-mean-X" 0.0973
29 "WALKING_DOWNSTAIRS" "tBodyAccJerk-mean-X" 0.0637
30 "WALKING_DOWNSTAIRS" "tBodyAccJerk-mean-X" 0.0884
1 "WALKING_UPSTAIRS" "tBodyAccJerk-mean-X" 0.1014
2 "WALKING_UPSTAIRS" "tBodyAccJerk-mean-X" 0.0745
3 "WALKING_UPSTAIRS" "tBodyAccJerk-mean-X" 0.0427
4 "WALKING_UPSTAIRS" "tBodyAccJerk-mean-X" 0.0561
5 "WALKING_UPSTAIRS" "tBodyAccJerk-mean-X" 0.0795
6 "WALKING_UPSTAIRS" "tBodyAccJerk-mean-X" 0.0721
7 "WALKING_UPSTAIRS" "tBodyAccJerk-mean-X" 0.0725
8 "WALKING_UPSTAIRS" "tBodyAccJerk-mean-X" 0.0814
9 "WALKING_UPSTAIRS" "tBodyAccJerk-mean-X" 0.0692
10 "WALKING_UPSTAIRS" "tBodyAccJerk-mean-X" 0.0649
11 "WALKING_UPSTAIRS" "tBodyAccJerk-mean-X" 0.0969
12 "WALKING_UPSTAIRS" "tBodyAccJerk-mean-X" 0.0729
13 "WALKING_UPSTAIRS" "tBodyAccJerk-mean-X" 0.0692
14 "WALKING_UPSTAIRS" "tBodyAccJerk-mean-X" 0.0803
15 "WALKING_UPSTAIRS" "tBodyAccJerk-mean-X" 0.073
16 "WALKING_UPSTAIRS" "tBodyAccJerk-mean-X" 0.0763
17 "WALKING_UPSTAIRS" "tBodyAccJerk-mean-X" 0.0768
18 "WALKING_UPSTAIRS" "tBodyAccJerk-mean-X" 0.0812
19 "WALKING_UPSTAIRS" "tBodyAccJerk-mean-X" 0.0832
20 "WALKING_UPSTAIRS" "tBodyAccJerk-mean-X" 0.0836
21 "WALKING_UPSTAIRS" "tBodyAccJerk-mean-X" 0.104
22 "WALKING_UPSTAIRS" "tBodyAccJerk-mean-X" 0.0877
23 "WALKING_UPSTAIRS" "tBodyAccJerk-mean-X" 0.0724
24 "WALKING_UPSTAIRS" "tBodyAccJerk-mean-X" 0.0862
25 "WALKING_UPSTAIRS" "tBodyAccJerk-mean-X" 0.074
26 "WALKING_UPSTAIRS" "tBodyAccJerk-mean-X" 0.0756
27 "WALKING_UPSTAIRS" "tBodyAccJerk-mean-X" 0.0735
28 "WALKING_UPSTAIRS" "tBodyAccJerk-mean-X" 0.0707
29 "WALKING_UPSTAIRS" "tBodyAccJerk-mean-X" 0.1063
30 "WALKING_UPSTAIRS" "tBodyAccJerk-mean-X" 0.058
1 "LAYING" "tBodyAccJerk-mean-Y" 0.0038
2 "LAYING" "tBodyAccJerk-mean-Y" 0.0123
3 "LAYING" "tBodyAccJerk-mean-Y" 0.0138
4 "LAYING" "tBodyAccJerk-mean-Y" 0.0069
5 "LAYING" "tBodyAccJerk-mean-Y" 0.0075
6 "LAYING" "tBodyAccJerk-mean-Y" -0.0011
7 "LAYING" "tBodyAccJerk-mean-Y" 0.0251
8 "LAYING" "tBodyAccJerk-mean-Y" 0.0233
9 "LAYING" "tBodyAccJerk-mean-Y" 0.0116
10 "LAYING" "tBodyAccJerk-mean-Y" 0.0157
11 "LAYING" "tBodyAccJerk-mean-Y" 0.0122
12 "LAYING" "tBodyAccJerk-mean-Y" 0.0077
13 "LAYING" "tBodyAccJerk-mean-Y" 0.0183
14 "LAYING" "tBodyAccJerk-mean-Y" -0.0083
15 "LAYING" "tBodyAccJerk-mean-Y" 0.0124
16 "LAYING" "tBodyAccJerk-mean-Y" 0.0133
17 "LAYING" "tBodyAccJerk-mean-Y" 0.0071
18 "LAYING" "tBodyAccJerk-mean-Y" 0.0117
19 "LAYING" "tBodyAccJerk-mean-Y" 0.0111
20 "LAYING" "tBodyAccJerk-mean-Y" 0.0011
21 "LAYING" "tBodyAccJerk-mean-Y" 0.012
22 "LAYING" "tBodyAccJerk-mean-Y" 0.0046
23 "LAYING" "tBodyAccJerk-mean-Y" 0.0154
24 "LAYING" "tBodyAccJerk-mean-Y" 0.012
25 "LAYING" "tBodyAccJerk-mean-Y" 0.0285
26 "LAYING" "tBodyAccJerk-mean-Y" 0.0124
27 "LAYING" "tBodyAccJerk-mean-Y" 0.0126
28 "LAYING" "tBodyAccJerk-mean-Y" 0.0059
29 "LAYING" "tBodyAccJerk-mean-Y" 0.0117
30 "LAYING" "tBodyAccJerk-mean-Y" 0.0108
1 "SITTING" "tBodyAccJerk-mean-Y" -6e-04
2 "SITTING" "tBodyAccJerk-mean-Y" 0.0117
3 "SITTING" "tBodyAccJerk-mean-Y" 0.0027
4 "SITTING" "tBodyAccJerk-mean-Y" -0.0109
5 "SITTING" "tBodyAccJerk-mean-Y" -0.0028
6 "SITTING" "tBodyAccJerk-mean-Y" 0
7 "SITTING" "tBodyAccJerk-mean-Y" 0.0117
8 "SITTING" "tBodyAccJerk-mean-Y" -0.0066
9 "SITTING" "tBodyAccJerk-mean-Y" 0.0098
10 "SITTING" "tBodyAccJerk-mean-Y" 0.009
11 "SITTING" "tBodyAccJerk-mean-Y" -2e-04
12 "SITTING" "tBodyAccJerk-mean-Y" 0.0106
13 "SITTING" "tBodyAccJerk-mean-Y" -0.0011
14 "SITTING" "tBodyAccJerk-mean-Y" -0.0044
15 "SITTING" "tBodyAccJerk-mean-Y" -0.009
16 "SITTING" "tBodyAccJerk-mean-Y" 0.0099
17 "SITTING" "tBodyAccJerk-mean-Y" 0.0056
18 "SITTING" "tBodyAccJerk-mean-Y" 0.0069
19 "SITTING" "tBodyAccJerk-mean-Y" 0.0138
20 "SITTING" "tBodyAccJerk-mean-Y" 0.006
21 "SITTING" "tBodyAccJerk-mean-Y" 0.0121
22 "SITTING" "tBodyAccJerk-mean-Y" -8e-04
23 "SITTING" "tBodyAccJerk-mean-Y" 0.0101
24 "SITTING" "tBodyAccJerk-mean-Y" 0.0048
25 "SITTING" "tBodyAccJerk-mean-Y" 0.0049
26 "SITTING" "tBodyAccJerk-mean-Y" 0.0069
27 "SITTING" "tBodyAccJerk-mean-Y" 0.0047
28 "SITTING" "tBodyAccJerk-mean-Y" 0.0148
29 "SITTING" "tBodyAccJerk-mean-Y" 0.006
30 "SITTING" "tBodyAccJerk-mean-Y" 0.0098
1 "STANDING" "tBodyAccJerk-mean-Y" 0.008
2 "STANDING" "tBodyAccJerk-mean-Y" 0.0103
3 "STANDING" "tBodyAccJerk-mean-Y" 0.0077
4 "STANDING" "tBodyAccJerk-mean-Y" -0.0065
5 "STANDING" "tBodyAccJerk-mean-Y" -0.0022
6 "STANDING" "tBodyAccJerk-mean-Y" 0.0087
7 "STANDING" "tBodyAccJerk-mean-Y" 0.0069
8 "STANDING" "tBodyAccJerk-mean-Y" 0.0081
9 "STANDING" "tBodyAccJerk-mean-Y" 0.0131
10 "STANDING" "tBodyAccJerk-mean-Y" 0.0119
11 "STANDING" "tBodyAccJerk-mean-Y" 0.0124
12 "STANDING" "tBodyAccJerk-mean-Y" 0.01
13 "STANDING" "tBodyAccJerk-mean-Y" 0.0076
14 "STANDING" "tBodyAccJerk-mean-Y" 0.0058
15 "STANDING" "tBodyAccJerk-mean-Y" 0.0062
16 "STANDING" "tBodyAccJerk-mean-Y" 0.0121
17 "STANDING" "tBodyAccJerk-mean-Y" 0.0066
18 "STANDING" "tBodyAccJerk-mean-Y" 0.0105
19 "STANDING" "tBodyAccJerk-mean-Y" 0.0099
20 "STANDING" "tBodyAccJerk-mean-Y" 0.0117
21 "STANDING" "tBodyAccJerk-mean-Y" 0.0101
22 "STANDING" "tBodyAccJerk-mean-Y" 0.0107
23 "STANDING" "tBodyAccJerk-mean-Y" 0.0106
24 "STANDING" "tBodyAccJerk-mean-Y" 0.011
25 "STANDING" "tBodyAccJerk-mean-Y" 0.0066
26 "STANDING" "tBodyAccJerk-mean-Y" 0.0082
27 "STANDING" "tBodyAccJerk-mean-Y" 0.0122
28 "STANDING" "tBodyAccJerk-mean-Y" 0.0091
29 "STANDING" "tBodyAccJerk-mean-Y" 0.0115
30 "STANDING" "tBodyAccJerk-mean-Y" 0.0121
1 "WALKING" "tBodyAccJerk-mean-Y" 0.0283
2 "WALKING" "tBodyAccJerk-mean-Y" 0.0182
3 "WALKING" "tBodyAccJerk-mean-Y" 0.0101
4 "WALKING" "tBodyAccJerk-mean-Y" 0.003
5 "WALKING" "tBodyAccJerk-mean-Y" -0.0163
6 "WALKING" "tBodyAccJerk-mean-Y" -0.0165
7 "WALKING" "tBodyAccJerk-mean-Y" 0.0184
8 "WALKING" "tBodyAccJerk-mean-Y" -0.006
9 "WALKING" "tBodyAccJerk-mean-Y" 0.0212
10 "WALKING" "tBodyAccJerk-mean-Y" 0.0041
11 "WALKING" "tBodyAccJerk-mean-Y" 0.0128
12 "WALKING" "tBodyAccJerk-mean-Y" 0.0198
13 "WALKING" "tBodyAccJerk-mean-Y" 0.0031
14 "WALKING" "tBodyAccJerk-mean-Y" 0.0241
15 "WALKING" "tBodyAccJerk-mean-Y" 0.0089
16 "WALKING" "tBodyAccJerk-mean-Y" 0.0097
17 "WALKING" "tBodyAccJerk-mean-Y" 0.013
18 "WALKING" "tBodyAccJerk-mean-Y" 0.0283
19 "WALKING" "tBodyAccJerk-mean-Y" 0.0144
20 "WALKING" "tBodyAccJerk-mean-Y" -0.0211
21 "WALKING" "tBodyAccJerk-mean-Y" 0.0024
22 "WALKING" "tBodyAccJerk-mean-Y" 0.0357
23 "WALKING" "tBodyAccJerk-mean-Y" 0.0149
24 "WALKING" "tBodyAccJerk-mean-Y" 0.0121
25 "WALKING" "tBodyAccJerk-mean-Y" 0.0035
26 "WALKING" "tBodyAccJerk-mean-Y" 0.0197
27 "WALKING" "tBodyAccJerk-mean-Y" 0.0016
28 "WALKING" "tBodyAccJerk-mean-Y" 0.0226
29 "WALKING" "tBodyAccJerk-mean-Y" 0.0224
30 "WALKING" "tBodyAccJerk-mean-Y" 0.022
1 "WALKING_DOWNSTAIRS" "tBodyAccJerk-mean-Y" 0.0297
2 "WALKING_DOWNSTAIRS" "tBodyAccJerk-mean-Y" -0.0033
3 "WALKING_DOWNSTAIRS" "tBodyAccJerk-mean-Y" 0.011
4 "WALKING_DOWNSTAIRS" "tBodyAccJerk-mean-Y" 0.0056
5 "WALKING_DOWNSTAIRS" "tBodyAccJerk-mean-Y" 0.0138
6 "WALKING_DOWNSTAIRS" "tBodyAccJerk-mean-Y" 0.0099
7 "WALKING_DOWNSTAIRS" "tBodyAccJerk-mean-Y" -0.0191
8 "WALKING_DOWNSTAIRS" "tBodyAccJerk-mean-Y" -0.038
9 "WALKING_DOWNSTAIRS" "tBodyAccJerk-mean-Y" -0.0207
10 "WALKING_DOWNSTAIRS" "tBodyAccJerk-mean-Y" 0.0108
11 "WALKING_DOWNSTAIRS" "tBodyAccJerk-mean-Y" 0.0252
12 "WALKING_DOWNSTAIRS" "tBodyAccJerk-mean-Y" -0.0119
13 "WALKING_DOWNSTAIRS" "tBodyAccJerk-mean-Y" -0.0075
14 "WALKING_DOWNSTAIRS" "tBodyAccJerk-mean-Y" 0.0291
15 "WALKING_DOWNSTAIRS" "tBodyAccJerk-mean-Y" 0.0151
16 "WALKING_DOWNSTAIRS" "tBodyAccJerk-mean-Y" -0.0148
17 "WALKING_DOWNSTAIRS" "tBodyAccJerk-mean-Y" -0.0114
18 "WALKING_DOWNSTAIRS" "tBodyAccJerk-mean-Y" -8e-04
19 "WALKING_DOWNSTAIRS" "tBodyAccJerk-mean-Y" -0.0387
20 "WALKING_DOWNSTAIRS" "tBodyAccJerk-mean-Y" 0.0044
21 "WALKING_DOWNSTAIRS" "tBodyAccJerk-mean-Y" -0.0214
22 "WALKING_DOWNSTAIRS" "tBodyAccJerk-mean-Y" 0.0211
23 "WALKING_DOWNSTAIRS" "tBodyAccJerk-mean-Y" 0.0375
24 "WALKING_DOWNSTAIRS" "tBodyAccJerk-mean-Y" -0.0045
25 "WALKING_DOWNSTAIRS" "tBodyAccJerk-mean-Y" -0.0195
26 "WALKING_DOWNSTAIRS" "tBodyAccJerk-mean-Y" -0.0071
27 "WALKING_DOWNSTAIRS" "tBodyAccJerk-mean-Y" 0.016
28 "WALKING_DOWNSTAIRS" "tBodyAccJerk-mean-Y" 0.0143
29 "WALKING_DOWNSTAIRS" "tBodyAccJerk-mean-Y" 6e-04
30 "WALKING_DOWNSTAIRS" "tBodyAccJerk-mean-Y" -0.0076
1 "WALKING_UPSTAIRS" "tBodyAccJerk-mean-Y" 0.0195
2 "WALKING_UPSTAIRS" "tBodyAccJerk-mean-Y" -0.0097
3 "WALKING_UPSTAIRS" "tBodyAccJerk-mean-Y" 0.0397
4 "WALKING_UPSTAIRS" "tBodyAccJerk-mean-Y" 0.0234
5 "WALKING_UPSTAIRS" "tBodyAccJerk-mean-Y" 0.014
6 "WALKING_UPSTAIRS" "tBodyAccJerk-mean-Y" 0.0037
7 "WALKING_UPSTAIRS" "tBodyAccJerk-mean-Y" -8e-04
8 "WALKING_UPSTAIRS" "tBodyAccJerk-mean-Y" 0.0141
9 "WALKING_UPSTAIRS" "tBodyAccJerk-mean-Y" 0.0013
10 "WALKING_UPSTAIRS" "tBodyAccJerk-mean-Y" 0.0266
11 "WALKING_UPSTAIRS" "tBodyAccJerk-mean-Y" -0.0133
12 "WALKING_UPSTAIRS" "tBodyAccJerk-mean-Y" -0.0069
13 "WALKING_UPSTAIRS" "tBodyAccJerk-mean-Y" -0.0013
14 "WALKING_UPSTAIRS" "tBodyAccJerk-mean-Y" -0.0183
15 "WALKING_UPSTAIRS" "tBodyAccJerk-mean-Y" -0.0042
16 "WALKING_UPSTAIRS" "tBodyAccJerk-mean-Y" 0.0174
17 "WALKING_UPSTAIRS" "tBodyAccJerk-mean-Y" 0.0308
18 "WALKING_UPSTAIRS" "tBodyAccJerk-mean-Y" 0.0212
19 "WALKING_UPSTAIRS" "tBodyAccJerk-mean-Y" 0.0568
20 "WALKING_UPSTAIRS" "tBodyAccJerk-mean-Y" 0.0066
21 "WALKING_UPSTAIRS" "tBodyAccJerk-mean-Y" -0.0156
22 "WALKING_UPSTAIRS" "tBodyAccJerk-mean-Y" 0.0367
23 "WALKING_UPSTAIRS" "tBodyAccJerk-mean-Y" 0.04
24 "WALKING_UPSTAIRS" "tBodyAccJerk-mean-Y" -0.0151
25 "WALKING_UPSTAIRS" "tBodyAccJerk-mean-Y" 0.0093
26 "WALKING_UPSTAIRS" "tBodyAccJerk-mean-Y" 0.0021
27 "WALKING_UPSTAIRS" "tBodyAccJerk-mean-Y" -0.014
28 "WALKING_UPSTAIRS" "tBodyAccJerk-mean-Y" 0.0223
29 "WALKING_UPSTAIRS" "tBodyAccJerk-mean-Y" -7e-04
30 "WALKING_UPSTAIRS" "tBodyAccJerk-mean-Y" -0.0036
1 "LAYING" "tBodyAccJerk-mean-Z" 0.0108
2 "LAYING" "tBodyAccJerk-mean-Z" -0.0018
3 "LAYING" "tBodyAccJerk-mean-Z" -0.0044
4 "LAYING" "tBodyAccJerk-mean-Z" -0.0064
5 "LAYING" "tBodyAccJerk-mean-Z" -0.003
6 "LAYING" "tBodyAccJerk-mean-Z" 0.0033
7 "LAYING" "tBodyAccJerk-mean-Z" -0.0132
8 "LAYING" "tBodyAccJerk-mean-Z" -0.0169
9 "LAYING" "tBodyAccJerk-mean-Z" -0.0071
10 "LAYING" "tBodyAccJerk-mean-Z" 0.0072
11 "LAYING" "tBodyAccJerk-mean-Z" 0.0028
12 "LAYING" "tBodyAccJerk-mean-Z" -0.0044
13 "LAYING" "tBodyAccJerk-mean-Z" -0.0099
14 "LAYING" "tBodyAccJerk-mean-Z" -0.0324
15 "LAYING" "tBodyAccJerk-mean-Z" -0.0044
16 "LAYING" "tBodyAccJerk-mean-Z" -0.0015
17 "LAYING" "tBodyAccJerk-mean-Z" -1e-04
18 "LAYING" "tBodyAccJerk-mean-Z" -0.0012
19 "LAYING" "tBodyAccJerk-mean-Z" -0.001
20 "LAYING" "tBodyAccJerk-mean-Z" -0.0031
21 "LAYING" "tBodyAccJerk-mean-Z" -0.0139
22 "LAYING" "tBodyAccJerk-mean-Z" -0.0047
23 "LAYING" "tBodyAccJerk-mean-Z" -0.0063
24 "LAYING" "tBodyAccJerk-mean-Z" -0.0059
25 "LAYING" "tBodyAccJerk-mean-Z" -0.0307
26 "LAYING" "tBodyAccJerk-mean-Z" -0.0061
27 "LAYING" "tBodyAccJerk-mean-Z" -7e-04
28 "LAYING" "tBodyAccJerk-mean-Z" 0.006
29 "LAYING" "tBodyAccJerk-mean-Z" 0.0024
30 "LAYING" "tBodyAccJerk-mean-Z" -4e-04
1 "SITTING" "tBodyAccJerk-mean-Z" -0.0034
2 "SITTING" "tBodyAccJerk-mean-Z" 0.0076
3 "SITTING" "tBodyAccJerk-mean-Z" -0.0042
4 "SITTING" "tBodyAccJerk-mean-Z" -0.0121
5 "SITTING" "tBodyAccJerk-mean-Z" 0.0034
6 "SITTING" "tBodyAccJerk-mean-Z" 0.0062
7 "SITTING" "tBodyAccJerk-mean-Z" 0.0162
8 "SITTING" "tBodyAccJerk-mean-Z" -0.0107
9 "SITTING" "tBodyAccJerk-mean-Z" -0.0087
10 "SITTING" "tBodyAccJerk-mean-Z" -0.005
11 "SITTING" "tBodyAccJerk-mean-Z" 0.0083
12 "SITTING" "tBodyAccJerk-mean-Z" -0.002
13 "SITTING" "tBodyAccJerk-mean-Z" -0.0232
14 "SITTING" "tBodyAccJerk-mean-Z" -0.0106
15 "SITTING" "tBodyAccJerk-mean-Z" -0.0024
16 "SITTING" "tBodyAccJerk-mean-Z" -0.0115
17 "SITTING" "tBodyAccJerk-mean-Z" -0.0016
18 "SITTING" "tBodyAccJerk-mean-Z" 0.0028
19 "SITTING" "tBodyAccJerk-mean-Z" 0.0017
20 "SITTING" "tBodyAccJerk-mean-Z" 0.0016
21 "SITTING" "tBodyAccJerk-mean-Z" -2e-04
22 "SITTING" "tBodyAccJerk-mean-Z" -0.0127
23 "SITTING" "tBodyAccJerk-mean-Z" -0.0015
24 "SITTING" "tBodyAccJerk-mean-Z" -0.0011
25 "SITTING" "tBodyAccJerk-mean-Z" 0.0021
26 "SITTING" "tBodyAccJerk-mean-Z" -0.0078
27 "SITTING" "tBodyAccJerk-mean-Z" -0.0061
28 "SITTING" "tBodyAccJerk-mean-Z" 3e-04
29 "SITTING" "tBodyAccJerk-mean-Z" 0.0032
30 "SITTING" "tBodyAccJerk-mean-Z" -0.0028
1 "STANDING" "tBodyAccJerk-mean-Z" -0.0037
2 "STANDING" "tBodyAccJerk-mean-Z" -0.0084
3 "STANDING" "tBodyAccJerk-mean-Z" -0.0081
4 "STANDING" "tBodyAccJerk-mean-Z" -0.0212
5 "STANDING" "tBodyAccJerk-mean-Z" -0.0123
6 "STANDING" "tBodyAccJerk-mean-Z" -0.0048
7 "STANDING" "tBodyAccJerk-mean-Z" -0.0108
8 "STANDING" "tBodyAccJerk-mean-Z" 0.0032
9 "STANDING" "tBodyAccJerk-mean-Z" -0.0047
10 "STANDING" "tBodyAccJerk-mean-Z" -0.0049
11 "STANDING" "tBodyAccJerk-mean-Z" -7e-04
12 "STANDING" "tBodyAccJerk-mean-Z" -0.0079
13 "STANDING" "tBodyAccJerk-mean-Z" -7e-04
14 "STANDING" "tBodyAccJerk-mean-Z" -0.0072
15 "STANDING" "tBodyAccJerk-mean-Z" -0.0066
16 "STANDING" "tBodyAccJerk-mean-Z" -0.0048
17 "STANDING" "tBodyAccJerk-mean-Z" -0.004
18 "STANDING" "tBodyAccJerk-mean-Z" -0.0018
19 "STANDING" "tBodyAccJerk-mean-Z" 0.0013
20 "STANDING" "tBodyAccJerk-mean-Z" -0.0061
21 "STANDING" "tBodyAccJerk-mean-Z" -0.0033
22 "STANDING" "tBodyAccJerk-mean-Z" -0.0063
23 "STANDING" "tBodyAccJerk-mean-Z" -0.0053
24 "STANDING" "tBodyAccJerk-mean-Z" -0.0036
25 "STANDING" "tBodyAccJerk-mean-Z" -0.0062
26 "STANDING" "tBodyAccJerk-mean-Z" -0.0022
27 "STANDING" "tBodyAccJerk-mean-Z" -0.0014
28 "STANDING" "tBodyAccJerk-mean-Z" -0.0027
29 "STANDING" "tBodyAccJerk-mean-Z" 3e-04
30 "STANDING" "tBodyAccJerk-mean-Z" 0.0019
1 "WALKING" "tBodyAccJerk-mean-Z" -0.0042
2 "WALKING" "tBodyAccJerk-mean-Z" 0.0079
3 "WALKING" "tBodyAccJerk-mean-Z" -0.0056
4 "WALKING" "tBodyAccJerk-mean-Z" -8e-04
5 "WALKING" "tBodyAccJerk-mean-Z" 1e-04
6 "WALKING" "tBodyAccJerk-mean-Z" -0.0074
7 "WALKING" "tBodyAccJerk-mean-Z" -0.021
8 "WALKING" "tBodyAccJerk-mean-Z" -7e-04
9 "WALKING" "tBodyAccJerk-mean-Z" 0.0041
10 "WALKING" "tBodyAccJerk-mean-Z" -0.0163
11 "WALKING" "tBodyAccJerk-mean-Z" -0.0134
12 "WALKING" "tBodyAccJerk-mean-Z" 0.005
13 "WALKING" "tBodyAccJerk-mean-Z" 0.006
14 "WALKING" "tBodyAccJerk-mean-Z" 0.02
15 "WALKING" "tBodyAccJerk-mean-Z" 7e-04
16 "WALKING" "tBodyAccJerk-mean-Z" 0.0036
17 "WALKING" "tBodyAccJerk-mean-Z" 0.0244
18 "WALKING" "tBodyAccJerk-mean-Z" 0.0107
19 "WALKING" "tBodyAccJerk-mean-Z" -0.0328
20 "WALKING" "tBodyAccJerk-mean-Z" 0.0063
21 "WALKING" "tBodyAccJerk-mean-Z" -0.0102
22 "WALKING" "tBodyAccJerk-mean-Z" 0.0044
23 "WALKING" "tBodyAccJerk-mean-Z" -0.0019
24 "WALKING" "tBodyAccJerk-mean-Z" -0.0116
25 "WALKING" "tBodyAccJerk-mean-Z" -0.0034
26 "WALKING" "tBodyAccJerk-mean-Z" -0.0062
27 "WALKING" "tBodyAccJerk-mean-Z" -0.0208
28 "WALKING" "tBodyAccJerk-mean-Z" -0.0076
29 "WALKING" "tBodyAccJerk-mean-Z" 0.0094
30 "WALKING" "tBodyAccJerk-mean-Z" -0.0074
1 "WALKING_DOWNSTAIRS" "tBodyAccJerk-mean-Z" -0.011
2 "WALKING_DOWNSTAIRS" "tBodyAccJerk-mean-Z" -0.0209
3 "WALKING_DOWNSTAIRS" "tBodyAccJerk-mean-Z" -0.002
4 "WALKING_DOWNSTAIRS" "tBodyAccJerk-mean-Z" -0.0073
5 "WALKING_DOWNSTAIRS" "tBodyAccJerk-mean-Z" 0.0213
6 "WALKING_DOWNSTAIRS" "tBodyAccJerk-mean-Z" -0.0093
7 "WALKING_DOWNSTAIRS" "tBodyAccJerk-mean-Z" -0.016
8 "WALKING_DOWNSTAIRS" "tBodyAccJerk-mean-Z" -0.0394
9 "WALKING_DOWNSTAIRS" "tBodyAccJerk-mean-Z" 0.0026
10 "WALKING_DOWNSTAIRS" "tBodyAccJerk-mean-Z" 2e-04
11 "WALKING_DOWNSTAIRS" "tBodyAccJerk-mean-Z" -0.0225
12 "WALKING_DOWNSTAIRS" "tBodyAccJerk-mean-Z" 0.0049
13 "WALKING_DOWNSTAIRS" "tBodyAccJerk-mean-Z" -0.0253
14 "WALKING_DOWNSTAIRS" "tBodyAccJerk-mean-Z" 0.0105
15 "WALKING_DOWNSTAIRS" "tBodyAccJerk-mean-Z" -0.01
16 "WALKING_DOWNSTAIRS" "tBodyAccJerk-mean-Z" -0.0293
17 "WALKING_DOWNSTAIRS" "tBodyAccJerk-mean-Z" -0.0094
18 "WALKING_DOWNSTAIRS" "tBodyAccJerk-mean-Z" -0.0142
19 "WALKING_DOWNSTAIRS" "tBodyAccJerk-mean-Z" -0.0096
20 "WALKING_DOWNSTAIRS" "tBodyAccJerk-mean-Z" -0.0025
21 "WALKING_DOWNSTAIRS" "tBodyAccJerk-mean-Z" -0.0126
22 "WALKING_DOWNSTAIRS" "tBodyAccJerk-mean-Z" 0.0112
23 "WALKING_DOWNSTAIRS" "tBodyAccJerk-mean-Z" -0.001
24 "WALKING_DOWNSTAIRS" "tBodyAccJerk-mean-Z" -0.0085
25 "WALKING_DOWNSTAIRS" "tBodyAccJerk-mean-Z" -0.0113
26 "WALKING_DOWNSTAIRS" "tBodyAccJerk-mean-Z" -0.0119
27 "WALKING_DOWNSTAIRS" "tBodyAccJerk-mean-Z" -0.0099
28 "WALKING_DOWNSTAIRS" "tBodyAccJerk-mean-Z" 0.0012
29 "WALKING_DOWNSTAIRS" "tBodyAccJerk-mean-Z" -0.0141
30 "WALKING_DOWNSTAIRS" "tBodyAccJerk-mean-Z" -0.0118
1 "WALKING_UPSTAIRS" "tBodyAccJerk-mean-Z" -0.0456
2 "WALKING_UPSTAIRS" "tBodyAccJerk-mean-Z" 0.0195
3 "WALKING_UPSTAIRS" "tBodyAccJerk-mean-Z" 0.0208
4 "WALKING_UPSTAIRS" "tBodyAccJerk-mean-Z" 0.0034
5 "WALKING_UPSTAIRS" "tBodyAccJerk-mean-Z" -0.0256
6 "WALKING_UPSTAIRS" "tBodyAccJerk-mean-Z" -0.0024
7 "WALKING_UPSTAIRS" "tBodyAccJerk-mean-Z" -1e-04
8 "WALKING_UPSTAIRS" "tBodyAccJerk-mean-Z" -0.0675
9 "WALKING_UPSTAIRS" "tBodyAccJerk-mean-Z" 0.0077
